id_sesion,sesion,fecha,legislatura,leg_ses,url
2441,96,jueves 4 noviembre 2010,358,l358s96,https://www.camara.cl/verdoc.aspx?prmid=2441&prmtipo=TEXTOSESION&prmtipodoc=83
2440,95,miércoles 3 noviembre 2010,358,l358s95,https://www.camara.cl/verdoc.aspx?prmid=2440&prmtipo=TEXTOSESION&prmtipodoc=83
2439,94,miércoles 3 noviembre 2010,358,l358s94,https://www.camara.cl/verdoc.aspx?prmid=2439&prmtipo=TEXTOSESION&prmtipodoc=83
2438,93,martes 2 noviembre 2010,358,l358s93,https://www.camara.cl/verdoc.aspx?prmid=2438&prmtipo=TEXTOSESION&prmtipodoc=83
2437,92,jueves 28 octubre 2010,358,l358s92,https://www.camara.cl/verdoc.aspx?prmid=2437&prmtipo=TEXTOSESION&prmtipodoc=83
2436,91,miércoles 27 octubre 2010,358,l358s91,https://www.camara.cl/verdoc.aspx?prmid=2436&prmtipo=TEXTOSESION&prmtipodoc=83
2435,90,martes 26 octubre 2010,358,l358s90,https://www.camara.cl/verdoc.aspx?prmid=2435&prmtipo=TEXTOSESION&prmtipodoc=83
2434,89,jueves 14 octubre 2010,358,l358s89,https://www.camara.cl/verdoc.aspx?prmid=2434&prmtipo=TEXTOSESION&prmtipodoc=83
2433,88,miércoles 13 octubre 2010,358,l358s88,https://www.camara.cl/verdoc.aspx?prmid=2433&prmtipo=TEXTOSESION&prmtipodoc=83
2432,87,martes 12 octubre 2010,358,l358s87,https://www.camara.cl/verdoc.aspx?prmid=2432&prmtipo=TEXTOSESION&prmtipodoc=83
2431,86,jueves 7 octubre 2010,358,l358s86,https://www.camara.cl/verdoc.aspx?prmid=2431&prmtipo=TEXTOSESION&prmtipodoc=83
2430,85,miércoles 6 octubre 2010,358,l358s85,https://www.camara.cl/verdoc.aspx?prmid=2430&prmtipo=TEXTOSESION&prmtipodoc=83
2429,84,miércoles 6 octubre 2010,358,l358s84,https://www.camara.cl/verdoc.aspx?prmid=2429&prmtipo=TEXTOSESION&prmtipodoc=83
2428,83,martes 5 octubre 2010,358,l358s83,https://www.camara.cl/verdoc.aspx?prmid=2428&prmtipo=TEXTOSESION&prmtipodoc=83
2427,82,jueves 30 septiembre 2010,358,l358s82,https://www.camara.cl/verdoc.aspx?prmid=2427&prmtipo=TEXTOSESION&prmtipodoc=83
2426,81,miércoles 29 septiembre 2010,358,l358s81,https://www.camara.cl/verdoc.aspx?prmid=2426&prmtipo=TEXTOSESION&prmtipodoc=83
2425,80,miércoles 29 septiembre 2010,358,l358s80,https://www.camara.cl/verdoc.aspx?prmid=2425&prmtipo=TEXTOSESION&prmtipodoc=83
